original,count,textNoURL
I uploaded my notebook to http://github.com/derekyu565/nlpFinals and http://github.com/derekyu565/nlpFinals http://github.com/derekyu565/nlpFinals http://github.com/derekyu565/nlpFinals http://github.com/derekyu565/nlpFinals this is really just to see if I wrote the for loop and function properly to handle cases like this https://www.youtube.com/watch?v=qTksCYUgI7s,6,I uploaded my notebook to  and     this is really just to see if I wrote the for loop and function properly to handle cases like this
I have a private repository https://github.com/derekyu565/nlpFinals,1,I have a private repository
Test this ip://github.com/derekyu565/nlpFinals for checking,1,Test this  for checking
Another tcp://localhost:5555 test weeeee,1,Another  test weeeee
The quick brown foxed jumper over http://localhost:8888/tree link,1,The quick brown foxed jumper over  link
This should fail hp://localhost:8888/tree,No complete URLs found,This should fail hp://localhost:8888/tree
This should also fail about:preferences because it is not a complete URL,No complete URLs found,This should also fail about:preferences because it is not a complete URL
Lollll this is crazy https://www.youtube.com/watch?v=gcyQkIkKkPI she dances great though,1,Lollll this is crazy  she dances great though
Default jupyter notebook URL is usually http://localhost:8888/tree,1,Default jupyter notebook URL is usually
But I usually type localhost:8888 and I expect this row to fail,No complete URLs found,But I usually type localhost:8888 and I expect this row to fail
https://open.spotify.com/track/6PFfx4sEBWPuFqFB0mgX1D?si=6ecf387380824f46 wooooooooohhhhhhhhhhh jo yuri,1,wooooooooohhhhhhhhhhh jo yuri
Dropping a private playlist https://open.spotify.com/playlist/4JAbAgwjJQEXODEDTfz9zG?si=ea85023e40784ada if the link opens I will be embarrased...,1,Dropping a private playlist  if the link opens I will be embarrased...
This crashes a lot during enrollment https://ismis.usc.edu.ph/Account/Login?ReturnUrl=%2F it is something that freshmen usually encounter due to limited slots,1,This crashes a lot during enrollment  it is something that freshmen usually encounter due to limited slots
I wonder how long I can keep up with this https://www.youtube.com/watch?v=dh0pJdgY6Lc&t=29s before I start typing nonsense and just inserting URLs,1,I wonder how long I can keep up with this  before I start typing nonsense and just inserting URLs
https://open.spotify.com/track/37hpJXFHumSRoUzymayHHw?si=cc403f32d2f94f74 this song sounds like it came from a Kdrama,1,this song sounds like it came from a Kdrama
I forgot my password https://www.netflix.com/ph/ kdfkadkadfhadfhadsf,1,I forgot my password  kdfkadkadfhadfhadsf
weeeeeee https://waset.org/ weeeeeeeeeee,1,weeeeeee  weeeeeeeeeee
ew https://www.facebook.com/,1,ew
https://store.steampowered.com/app/1149460/ICARUS/?snr=1_4_4__118 uhhhhhhh,1,uhhhhhhh
https://twitter.com home of keyboard warriors,1,home of keyboard warriors
Using ubuntu or debian based distributions are great for beginners or people who want to get started https://ubuntu.com/,1,Using ubuntu or debian based distributions are great for beginners or people who want to get started
I am running out of ideas https://duckduckgo.com/?q=tcp%3A%2F%2Flocalhost%3A8888%2Fnotebooks%2FFinals.ipynb&t=newext&atb=v276-1&ia=web,1,I am running out of ideas
uhhhhhhhhhhhh tcp://localhost:8888/notebooks/Finals.ipynb hadsj;fklaserjklasdkl;fewruiaoj;sdfklmerwiauodsfjkl;ea,1,uhhhhhhhhhhhh  hadsj;fklaserjklasdkl;fewruiaoj;sdfklmerwiauodsfjkl;ea
I use arch btw https://archlinux.org/,1,I use arch btw
Stackoverflow part idk https://stackoverflow.com/questions/61355695/importerrorcannot-import-name-imaging-from-pil,1,Stackoverflow part idk
ha? hatdog https://discord.com/app,1,ha? hatdog
AHHHHHHHHHHHHHHHH https://discord.com/channels/742639749885460492/742642769671094303 AHHHHHHHHHHHHHHHHHHHHHHHHHH,1,AHHHHHHHHHHHHHHHH  AHHHHHHHHHHHHHHHHHHHHHHHHHH
this link to this spreadsheet https://docs.google.com/spreadsheets/d/1bXZeLYjFcFcBDKkBOXbI-Dm0RIMDXtz1XD_5XT63d3I/edit#gid=404309395 totally not running out of ideas for dummy data totally not https://docs.google.com/spreadsheets/d/1bXZeLYjFcFcBDKkBOXbI-Dm0RIMDXtz1XD_5XT63d3I/edit#gid=404309395 https://docs.google.com/spreadsheets/d/1bXZeLYjFcFcBDKkBOXbI-Dm0RIMDXtz1XD_5XT63d3I/edit#gid=404309395 https://docs.google.com/spreadsheets/d/1bXZeLYjFcFcBDKkBOXbI-Dm0RIMDXtz1XD_5XT63d3I/edit#gid=404309395,4,this link to this spreadsheet  totally not running out of ideas for dummy data totally not
We still have tcp://localhost:8888 for some reason,1,We still have  for some reason
https://www.youtube.com/watch?v=-Q6iOxdsAbw BLACK OR WHITE BLACK OR WHITE,1,BLACK OR WHITE BLACK OR WHITE
Dreamcatcher(드림캐쳐) 'Scream' Dance Video (Studio ver.) https://www.youtube.com/watch?v=mGeOehe3jIU,1,Dreamcatcher(드림캐쳐) 'Scream' Dance Video (Studio ver.)
This has no URL hehe,No complete URLs found,This has no URL hehe
This one too,No complete URLs found,This one too
I forgot that I can have texts with no URL,No complete URLs found,I forgot that I can have texts with no URL
The quick brown fox,No complete URLs found,The quick brown fox
jumps over the lazy,No complete URLs found,jumps over the lazy
dog https://www.youtube.com/watch?v=muAiqLbblVQ arf arf,1,dog  arf arf
ALMOST TO 50,No complete URLs found,ALMOST TO 50
Why didn't I just use lore ipsum? https://lipsum.com/,1,Why didn't I just use lore ipsum?
